address,init_spent,tickets,prize_tier,init_won
init1ngh6c4jcuaqvatxjplpn2jtru372dk4qd3n68h,63147.30489999987,631,Grand Prize,2500
init1rpv87g6wgex2wlryv6e65c45ug7k4uswfhd03y,36270.308999999994,362,Grand Prize,2500
init1txla3ky4z03e88emxznz4wpkrkqu990jqzgfm8,13112.876550000004,131,Grand Prize,2500
init15c3v0v8n4ndt5gg75hjqgmd93t68f4aheerv43,11094.825449999993,110,Grand Prize,2500
init1rhcec067kf8alzupkgv0a3p4fedcdnsu45xhlr,9392.673700000003,93,Grand Prize,2500
init1vg78fsfu7zcfkmqe7dlhwmfu5khp5yx8gm62qa,87146.09305000026,871,Major Prize,1125
init1a3kwuzuje6d6e5v9z5q4ds50wxqww24rjkh5d4,37985.640299999926,379,Major Prize,1125
init1n9xgzjkxfrlxgm4ezu0cr5mk9rwqemsp0hrt84,22267.10990000008,222,Major Prize,1125
init1j0wenn0cug7fa5plrkunlyvmlphqzkw7rz0enz,22020.080750000012,220,Major Prize,1125
init16x458z3zp838avhx8eask0938hwhpawrxhtwxc,21513.300300000035,215,Major Prize,1125
init1q65u4ryt7xu8skaht3sgk2lxdcqqrvay5vsczr,20175.117800000018,201,Major Prize,1125
init1qg65agudzmx36gjkyzgpnecr0f685e9qfwzy49,17765.578000000012,177,Major Prize,1125
init1kdm0zgamfks2tanck5xdw7lfd2jx7u6gguhe5t,15616.417299999983,156,Major Prize,1125
init1j2qt9g6zurze7mplvl54h3nhz4zhdaus92tacp,14386.154700000003,143,Major Prize,1125
init12akfqwdm8was25yqdeajma2lupf968pmk6jww6,14054.304150000007,140,Major Prize,1125
init1h0g5ptftgp8teylfpwss0sukhe3paqsap3krss,13717.920999999977,137,Major Prize,1125
init1ntwdnwflxddx970ltjnkqy0xq2k27xlzk9rnmu,13229.460650000035,132,Major Prize,1125
init1cychv7d602udt4m9cll3n7s8qx3k9yekx48mlu,10607.174700000001,106,Major Prize,1125
init16nn4jhnxzerlhurvtugcfklsqe4vfcumn3vluj,10014.119400000005,100,Major Prize,1125
init1qvuxzdtt3ge3dzx5cawkl6u9pf37qclv3h95gf,9601.530099999996,96,Major Prize,1125
init187mkkag4rspqc73ea58snns4k9eclw9kyzp4rk,8870.8654,88,Major Prize,1125
init1pmdg6nde4wd2zrd48eey77re0j2hspdnmlkyp7,8112.577949999999,81,Major Prize,1125
init1a40nwl47k73u5wkrpyzk24z93s3yelqdydkcu8,5968.260899999988,59,Major Prize,1125
init1z0hdq36y53t500j06f9u9s5lq7l2n8npmgu790,5585.61049999999,55,Major Prize,1125
init1uqe6u2qv36zejg9f09z4rwdqdetuxxk2rdgd78,3930.892249999999,39,Major Prize,1125
init1lsszkjdtu07wlgk372sylq6tqu9wu9drn0lfcf,12739.149849999987,127,Minor Prize,300
init195gz9ggqnjyu7akmyt2h62xjfhqs2rddm78vm5,11389.969649999997,113,Minor Prize,300
init1qs9q7fe0mwphgwm4jafkp25m5fcqmlzjm9vpyd,11053.156499999966,110,Minor Prize,300
init1djmr9dx6p6rx4rt5g3e5tufuh4vvq3xltnkqm2,10290.141999999996,102,Minor Prize,300
init1rvt898ndmsc2wt8ud5xvu0lkrprcjwq9ujx5r3,10030.497700000007,100,Minor Prize,300
init18muqyg4a5slgn40g0g76rte0268rcjse23k4ry,9575.619750000003,95,Minor Prize,300
init14u3asmacq8phwjnxjeydsky68undjp05n5x3fm,8083.002000000002,80,Minor Prize,300
init1ym46t5n3lqg62edp46g502negda98xamt5xj7c,8075.5603999999985,80,Minor Prize,300
init1a2hm36wx3p584xrceypln783vjm244cn3fsmxe,8064.429699999984,80,Minor Prize,300
init1trwxqh6vg5v64vkgfcmjt7aegvng5yet89qad2,6899.906900000002,68,Minor Prize,300
init1p5g2uex53vsvd0ssr6uf5049gdva4pj6gnpjpj,5384.793100000003,53,Minor Prize,300
init1p6xhelyz52pl784d54vu0vl2hekzctv6g9f78n,5177.294950000001,51,Minor Prize,300
init1rjajpvrau34rkjzlgktd8fjy8kaxyftn8taqr0,4429.004350000002,44,Minor Prize,300
init1a49jq8er20e77qqvm2tkpwea7pad36qx22hnlh,4139.428100000003,41,Minor Prize,300
init1vvkfx9fhf0fhzevkc5rzgm7rc6u7f3nlu4vdc8,3484.6403000000023,34,Minor Prize,300
init17yh65v2x9wxe7wmcfmcqqf2809zsz0h506hach,2379.664049999999,23,Minor Prize,300
init1svym4mcxa0hh0gzqjc9knzhc9r78m9evy628ml,2055.0499999999993,20,Minor Prize,300
init150hud7mt2mjpmndaccngwcydst2z7j0hlm6r0d,1642.1826000000003,16,Minor Prize,300
init1j225cu09wymyga5wc8a9pee9gcqdeagyna4v3u,1358.5168499999995,13,Minor Prize,300
init14v3afexuehl9ksvhrph72arcna3u4k7nyw0u49,1241.4911000000004,12,Minor Prize,300
init16nc68mpkh8g53k4qgtkydwhagnxm9nhtudymt7,1134.9142499999994,11,Minor Prize,300
init1luqw3xzlu0utcrt9fs929v4qwlfghh4nt5ep80,1066.1515000000002,10,Minor Prize,300
init1h8cz2jf4y4630qxl3yz6en4zfuf2595w6vlfhq,1057.5504999999987,10,Minor Prize,300
init1095x20q7tthmgw4c5k2narmp87c0efg92hdwjx,1046.1461000000004,10,Minor Prize,300
init1ly0mvh5nrck0fdaccwxht67adf7ygll6cdpe6k,836.3884999999991,8,Minor Prize,300
init12t32qf4cl56xy74dsjs22n6h43j42shm0qkkd6,788.8215499999997,7,Minor Prize,300
init14gd0yetnagly347cd3d9ue8gq6dadt0jwa5xtl,676.1237499999999,6,Minor Prize,300
init1py3scsmkvcn4dpmxn5cdl3pm5gd8pmlas8s4ky,621.3992499999999,6,Minor Prize,300
init1nxmz7zzv4aselcfhp73urz968ppf4z28cvef6j,596.0043499999995,5,Minor Prize,300
init16xqthufn8q5dswnm5gq9jzvad9pm5fpnejqs7r,556.2043500000003,5,Minor Prize,300
init1k7nsgkp2qdhys2ejhrkmsv290ej2tw6qwtuh08,543.4660499999999,5,Minor Prize,300
init1slczh0wklh54me5jhqz3ugqjgfu6y9fq072782,540.6825999999999,5,Minor Prize,300
init1ukn5wysvzk06nll4f2u3au692a9ttg8xs8tzs6,513.092,5,Minor Prize,300
init1q0qe0a7cwc957m936n5t64wyngntf36327lcj4,511.3271500000002,5,Minor Prize,300
init1ma4e6pzgktdaf0alc04m4qn82d7vn9vgq2nmmu,509.0312000000001,5,Minor Prize,300
init1h6x5y8tzjdvnu4nu2f7f9cus3kwym5tslkepf6,505.18295,5,Minor Prize,300
init1h0eg6049uc2ntt3l4yhvg30prqw07w7usjf22e,502.51155000000017,5,Minor Prize,300
init13852xjfxh7q2rv4wk46ly9qnvrpn7mf4622q6a,443.901,4,Minor Prize,300
init1y8rex9h3rly8d7trs0mz4krwd63wcn7t2hlqmd,441.43884999999995,4,Minor Prize,300
init1a0gfy3fz4gvg9vfrt4kw3xsnxufvkr5w44kja3,335.6395999999999,3,Minor Prize,300
init1rvsfu3cscp9xelq35r2dmy0gqykdt6yjmpdtn5,302.92945,3,Minor Prize,300
init1sdyzzpnja2vzkgwg4paydllje3ka6wwaqcme8j,265.6157,2,Minor Prize,300
init1amj43wt4wc9mpqn8rwa8vy968pdlvzrtwsuhs7,265.2737499999999,2,Minor Prize,300
init1vpvg7s2jdq6a8q7auc4duyh8kh0ptp7npm2vjn,257.5444499999999,2,Minor Prize,300
init1pr6a45t9x9fy0aj0eucdt6a9xa6vwx70ncadw8,247.88974999999994,2,Minor Prize,300
init1xpqxqt9fv7vdtprcejhndz6xxd9w8fm6swn686,204.44879999999998,2,Minor Prize,300
init123q0nkwgvr3j872h43npkgghjnq6qfgqvzazt4,171.83890000000002,1,Minor Prize,300
init1fp8z98r72raje32mx2dms364xg47yvja6phawu,138.44164999999998,1,Minor Prize,300
init1rxl5le6xcdcw9ycvmrqm8h8625nserkh37f7v2,126.28099999999999,1,Minor Prize,300
init1mf69ns9tkvnq84sq4xkxqmckrvpdftq6lyh3nw,122.94400000000003,1,Minor Prize,300
init102l4ue7f9vqyljd5jt44yvajzjjkd6d4n3qxm8,327.1903000000001,3,,0
init1zet6hphex9vku2q0ez2gw3s78792nxveuqpx9z,206.78509999999997,2,,0
init1eednpl0mkea5s69t5qt4g2vqvllktpmcjz5te6,179.52665000000002,1,,0
init189cu2ja59nrtgpr59827alzplc86lf0766n380,161.5075,1,,0
init1zy0m77ecncpy6z0nt7cfr475g7dnyxc2exccwq,156.35635,1,,0
init1jxwwdr5z9rr5qxtjgpcgty9xcpprhhzvx985j4,128.55659999999995,1,,0
init1xy3lt47hhxjxepcuzfvu6k88hfg8cgqcr7pn89,96.0865,0,,0
init1g8jc70jwu77ec26pkr6qxxemvxwmf707ls6guu,79.13484999999993,0,,0
init1umwj933dxl2zrxf2wd8twlh4lgcr444k4sv349,79.03635000000001,0,,0
init1qwlxl0fj7zsqhugnd7z9h8y5ngt3ykda8nxvcj,55.735749999999996,0,,0
init1fve8ekjw37qyvdmpw4jrk47lx5amwalmkpwewl,55.45875,0,,0
init142tcfxdxmk0yr5dv6g09r2zspk2lke3sk7qpmy,53.498349999999974,0,,0
init1nd9lldtym5828mzvxhu00f8ntzjxmcven07uum,50.97055,0,,0
init1kvummx56azpp4azek53kmaq9nhz3wertduzy96,49.234100000000005,0,,0
init1yshgnsxweqkqmlwk0pf9tx4892eucspa7kzp6t,39.95175000000002,0,,0
init1m4944fq0x0t0ackzf2pvw76qkq7s55z9cg6fcy,38.91039999999999,0,,0
init19mjwfd7ev42p7vt0fyea38u5k4duu5qefkpnx3,30.9214,0,,0
init1a6hhhlwaprafua7dsxsms6stm8gj9ctxrd30ys,29.5772,0,,0
init1wfwqf6sr5yjpyzhdesxxtuf26mjvw75w7hw6ar,29.33059999999999,0,,0
init1fu5akchzg2l0g9trh4dh8ra5hnx75h5d8wz9d4,24.7037,0,,0
init1ghp5tvl6nqh5v3tamy5vwtcpd2gyve0ludvqf3,22.690249999999995,0,,0
init1rwg7q309nsv2a7cz52dn30xdgcervvh0f8u5ch,17.614499999999996,0,,0
init1nwnz760lxgdtlp06xnlqpr2ajmg7nlzwk2v5dd,13.331,0,,0
init1jkdyes26kwjtl0ka5y6hwlu9q52rgarv4rsw83,13.09645,0,,0
init1dw0l0adrqhmw83n4h8adc58srzjwfhzz0uulcr,13.068000000000001,0,,0
init1tnc4eg7pa4umup9a98j965hzsfh8jrcejtahuz,11.844,0,,0
init1lzx39kyr0mq2zu56zqd8fsymuu63zgskq9ntns,11.0435,0,,0
init1z0s89w02gmsxa8qugfudykd68nf79qsm6w8j07,8.31075,0,,0
init1c9g7wmqekpkhpysm5czth9dnzy8v02pwrt4wq8,8.038499999999997,0,,0
init15eerhczkre4m3e35h8n2n247mm5y0fashvqrj9,8,0,,0
init1yd3zuxnf9gnl662an2xxqk0xc9k26jx70gj202,7.551999999999999,0,,0
init14tgv5yk664vjudw2htnprpcsw0qaj0fsvauc4n,5.597199999999999,0,,0
init1vl637z4q8m3srnzrpm84mzevdctqfw0p594wy6,5.280000000000001,0,,0
init1gpv54mj08wkcyq3kml9fndhpmtaxdeza3gjz4n,3.66515,0,,0
init1tj0v0x9u08zgrel79xpa9g5a5rdaprjjfjvx42,3.6040000000000005,0,,0
init165fczgrtca4apy50dm42mprh4rzknkf68tuxux,2.62,0,,0
init1aevuvq78jtjmh3u56kgf83kfcsq8ywll0a3ydg,2.52225,0,,0
init1s4kjfczu66vglg904pp2jtw3g99fta444h60nh,0.7840000000000001,0,,0
init15n5p6k223mj0nr95rl9ww7ndsk5s6lqd6wktr0,0.6000000000000001,0,,0
init1vl079qsg52r6gej0c6qkae0mhw0p3a39ldlzzm,0.5900000000000001,0,,0
init1kwxq02mkk59dkazqfazeghwcepv6avcruqyy7t,0.37,0,,0
init1xgfhxefae48lxfwl7jfywkqh2eklyxpfa77ajw,0.28,0,,0
init15y7d2ylknmlupgd67pe4xxrpned6drqxmjafhx,0.25,0,,0
init10n862xp0fnuut4wn7lzlk3ukey6fgkfu4xqnxn,0.08,0,,0
init1pk44tlcyuscay6eujmrh4dqmqf9wcm04nz7taz,0.055,0,,0
init1upt4px9lchtz4tx3lquv0pykwhz7qnsy6xveza,0.04,0,,0
init12zh03x08xnqe6pa3km0crshysh8cg9n93f2s5h,0.04,0,,0
init1a0am5s2l2zjgl54naukm43rhg5zf3szkr8h9zq,0.014,0,,0
init1dw49mn7s2r5mskjdmus5hth80zz8wwaywycq06,0.01,0,,0
